ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
,,18,นางทัศนีย์  พันธุ์เพียร,รักษ์ผืนป่าประเทศไทย,428
,,8,ว่าที่ ร้อยตรี กุลเชษฐ  จีระออน,ไทยศรีวิไลย์,257
,,5,นายชนภัทท์  จันทรุเบกษา,ชาติพัฒนา,245
,,6,นางพนารัตน์  ยุกตานนท์,ชาติไทยพัฒนา,227
,,10,นายชาลี  ชินรุจน์,พลังท้องถิ่นไท,183
,,12,นายวัชรเดช  รูปขจร,ประชาชาติ,164
,,7,นางสาวกุฎารัศมิ์  กุลฉัตร,เพื่อชาติ,129
,,9,นายกนก  โพธิสุวรรณ,ประชาชนปฏิรูป,126
,,15,นาวาอากาศตรี สมศักดิ์  วัดสังข์,สยามพัฒนา,113
,,16,นายแพ  ทับทิมเพ็ชร,ประชานิยม,107
,,14,นายณฐกร  วรอุไร,ประชาภิวัฒน์,88
,,22,นายธกร  อำพันธ์เปรม,ภราดรภาพ,65
,,23,นาวาอากาศโท โกสิต  แหนผัน,ครูไทยเพื่อประชาชน,64
,,29,นายวชิร  สถาวรัตนกุล,ไทรักธรรม,60
,,25,นายสุเมธ  พลศิริ,แผ่นดินธรรม,40
,,20,นายโอวาท  พรหมพินิจ,พลังชาติไทย,38
,,24,นายปัณณวิชญ์  ไพเราะ,ประชาธิปไตยใหม่,35
,,28,นายวิสายันต์  นีระวงศ์,ประชาธรรมไทย,28
,,27,นายไพบูลย์  บรรจง,ภาคีเครือข่ายไทย,26
,,26,นายภูวรา  มาตรศรี,ประชาไทย,16
,,19,นายวินิต  รัตนวงศ์,มติประชา,8
,11,12,นาวาอากาศเอก อนุดิษฐ์  นาครทรรพ,เพื่อไทย,"34,679"
,,13,นายนิกม์  แสงศิรินาวิน,อนาคตใหม่,"25,098"
,,8,นายสมชาย  เวสารัชตระกูล,ประชาธิปัตย์,"24,815"
,,7,นายอิทธิพัทธ์  เศรษฐยุกานนท์,พลังประชารัฐ,"18,960"
,,19,นายสมชาย  ยนวิลาศ,เศรษฐกิจใหม่,"4,141"
,,4,นายชูเดช  พันทวี,เสรีรวมไทย,"2,363"
,,10,นายฉัตรวัชร์  ศรีธนะเวทย์,ภูมิใจไทย,661
,,21,นายธนนริศร์  ทิมทองกุลเสฏฐ์,รักษ์ผืนป่าประเทศไทย,361
,,9,นายภาคิน  นิธิโชติการ,เพื่อชาติ,354
,,2,นายธัชนนท์  สว่างศรี,รวมพลังประชาชาติไทย,336
,,11,นางสาวสุมาตร  จงนบกลาง,ประชาชนปฏิรูป,217
,,1,นายอรรถภพ  ว่องธนวณิช,ประชาชาติ,173
,,6,นายแปลก  มาลีสี,ชาติไทยพัฒนา,173
,,30,นายสิริสุข  จันทร์แดง,ไทยศรีวิไลย์,160
,,15,พลโท อนุมนตรี  วัฒนศิริ,ชาติพัฒนา,130
,,14,นายศักดิ์ชาย  อินทะแพทย์,พลังท้องถิ่นไท,124
,,18,นายนวพัฒน์  มโนหวัน,ประชาธิปไตยใหม่,84
,,3,นายสำราญ  พีระเพ็ญกุล,ประชาภิวัฒน์,78
,,17,นายกิตติภพ  สิงอ่อน,พลังชาติไทย,72
,,16,นางสาวดุษฎี  อังคณาวิศัลย์,ประชานิยม,69
,,5,นางสาวพรทิพย์  ศรีสวัสดิ์,พลังธรรมใหม่,64
,,28,นายกษาปณ์  บริบูรณ์,พลังศรัทธา,62
